region	det	energy_keV	half_width_keV	rate_ct_s_keV	rate_error_ct_s_keV	model_ct_s_keV	residual_sigma	lhb_ct_s_keV	halo_ct_s_keV	cxb_ct_s_keV	cx_ct_s_keV
inner	pn	0.34848999977111816	0.002615004777908325	5.1544615733476125	0.23342003602005626	5.165649979549843	-0.04793250139533596	0.9549799752988171	0.13385642418268978	0.10274407064352599	3.974069509424813
inner	pn	0.35371799767017365	0.0026129931211471558	5.082006286311807	0.23278801212261	5.124961773450603	-0.18452619938251497	0.933328331041112	0.13357541857861316	0.10314058801603704	3.9549174358148473
inner	pn	0.35894249379634857	0.002611503005027771	5.553933508239698	0.2416138356272819	5.060688578965827	2.0414597864120663	0.9102310233815322	0.13305949422432808	0.10350607665035447	3.913891984709614
inner	pn	0.36416350305080414	0.0026095062494277954	4.99901190898935	0.23074748226830596	4.963873029825556	0.15228282804375612	0.8836787660139945	0.13205411324399105	0.10363214152853015	3.8445080090390404
inner	pn	0.36938050389289856	0.002607494592666626	5.176594861833543	0.23431325150923188	4.857222907394665	1.363012771927218	0.8573435827476475	0.13111048746092724	0.10393404484461059	3.7648347923414867
inner	pn	0.37459349632263184	0.0026054978370666504	4.993193483525691	0.2302260620898221	4.733399536426649	1.1284297908795577	0.8294552135729318	0.12997814095133792	0.10420556212123247	3.6697606197811576
inner	pn	0.37980300188064575	0.0026040077209472656	5.04709187416238	0.2307342724016003	4.598763787779639	1.9430493862758793	0.8007417592942798	0.12870051264903554	0.10444053135870546	3.564880984477622
inner	pn	0.3850084990262985	0.0026014894247055054	5.128152364932029	0.2329152418342163	4.458021407473428	2.8771451459393305	0.7715021491254153	0.12731142499930412	0.10464570933990335	3.454562124008791
inner	pn	0.39020998775959015	0.0025999993085861206	4.877517127760259	0.2269788188906987	4.316418199659482	2.4720321078548446	0.7421524762211883	0.12584979545818806	0.10482468251296777	3.343591245467133
inner	pn	0.3954080045223236	0.002598017454147339	4.336910856792651	0.2149875164426096	4.178823922920555	0.735330760073676	0.7130819726621259	0.12435248681683343	0.10497934803143713	3.2364101154101528
inner	pn	0.4006025195121765	0.0025964975357055664	4.2676897069983895	0.21372021491649587	4.048875992858887	1.0238325570886984	0.6844159287986046	0.12285215053957957	0.10511718383317846	3.1364907296875235
inner	pn	0.4057930111885071	0.002593994140625	4.0148555890032025	0.20777710129917676	3.9315254030408013	0.4010556766908333	0.6566950582628478	0.12139823277636841	0.10523382014011778	3.048198291861464
inner	pn	0.4109794944524765	0.0025924891233444214	3.645270158259583	0.198025885092793	3.828212608416713	-0.9238309934653509	0.6297993485471134	0.12001198185335533	0.10533401442235381	2.9730672635938937
inner	pn	0.41616199910640717	0.0025900155305862427	3.9983545195923624	0.20687383756209915	3.7403146535251173	1.2473296242198197	0.6037461037265699	0.11871753146157535	0.10541655401608425	2.912434464320885
inner	pn	0.4213404953479767	0.0025884807109832764	3.899053005869981	0.2045356687582945	3.6684566331430295	1.1274139817610664	0.5784790618104156	0.11753642456041583	0.10548155856146157	2.8669595882107317
inner	pn	0.42651548981666565	0.0025865137577056885	3.709551144363812	0.19972166001903538	3.6124415354230237	0.48622472360550506	0.5538639492460341	0.11647956414937337	0.10552500458577745	2.836573017441848
inner	pn	0.43168650567531586	0.002584502100944519	4.063239860892812	0.20850953665298205	3.572257430242064	2.3547240981494277	0.5300062308339267	0.11556673134409778	0.10554299258643868	2.821141475477613
inner	pn	0.4368535131216049	0.0025825053453445435	4.025546664179715	0.20769149123102446	3.547269365400826	2.30282567641098	0.5070131143184798	0.11480632993207746	0.10552821672381472	2.8199217044264624
inner	pn	0.44201649725437164	0.00258047878742218	3.966598171580742	0.2058874656840464	3.5367890253823915	2.087592582532114	0.4849264762159068	0.11420610214364371	0.10547570728821323	2.8321807397346395
inner	pn	0.447175994515419	0.002579018473625183	4.161504686268297	0.2103532255228187	3.540389308750915	2.9527257115912633	0.46399976838862955	0.11377326068497633	0.1053765177607457	2.8572397619165693
inner	pn	0.4523314982652664	0.002576485276222229	3.834384082203676	0.2024787664530195	3.5579452435036454	1.365273226139353	0.44451465171513715	0.11352074758289413	0.10522620140776101	2.8946836427978515
inner	pn	0.4574829936027527	0.002575010061264038	3.5025815451960467	0.1944552492909281	3.5895780161017963	-0.4473855615776797	0.4267940832116454	0.11346027394347445	0.1050155582852464	2.94430810066142
inner	pn	0.4626305103302002	0.0025725066661834717	3.4442758805989713	0.19307496829351753	3.635738765046794	-0.991650477221655	0.41126452979632727	0.11361014068744395	0.1047383045780178	3.0061257899849956
inner	pn	0.46777400374412537	0.0025709867477416992	3.583129661581037	0.1965654101604197	3.696900281450565	-0.5787926765786418	0.39840721041823546	0.11399175783376381	0.10439223084324736	3.0801090823553126
inner	pn	0.47291399538517	0.0025690048933029175	3.748092551150043	0.20001369204591465	3.7741357564788616	-0.13020711263526907	0.3885539039802622	0.11463122241710466	0.10397086101207678	3.1669797690694073
inner	pn	0.47805000841617584	0.002567008137702942	3.759153660415904	0.2006989025419516	3.8626557966772537	-0.5157085312896253	0.3814841529554654	0.11538032794863827	0.10331033095480883	3.262480984818338
inner	pn	0.48318201303482056	0.0025649964809417725	3.4826983452601907	0.19415933200376942	3.9762142066091952	-2.5418086076821864	0.37875710716442196	0.11664831925088227	0.10274422769383623	3.378064552500042
inner	pn	0.48830999433994293	0.002562984824180603	4.240485292980742	0.21340854095837175	4.110232309413289	0.6103456918008795	0.38000498481929756	0.11829259809431457	0.10210753471732605	3.5098271917823465
inner	pn	0.49343398213386536	0.0025610029697418213	4.2938041652429195	0.21475483913943152	4.2660858034857485	0.1290697889195159	0.385399173097876	0.12035602042930697	0.10140664300216648	3.658923966956383
inner	pn	0.4985544979572296	0.0025595128536224365	3.8612083016069207	0.2038447357452329	4.44551425426674	-2.8664265011488483	0.3950549494664319	0.12288988546443758	0.10064753463568324	3.8269218847001807
inner	pn	0.5036709904670715	0.0025569796562194824	4.107740011751772	0.21026114588546424	4.646781732300422	-2.563677270370641	0.4087832510549055	0.12589477211153155	0.09984660698183725	4.012257102152156
inner	pn	0.5087834894657135	0.0025555193424224854	4.506686667304097	0.21971125818406734	4.8685968829037005	-1.6472083342056447	0.42626037918722115	0.12937889038454664	0.09901243888355882	4.213945174448373
inner	pn	0.5138919949531555	0.0025529861450195312	4.372706728000279	0.21737989882842007	5.108650801205705	-3.385520359388491	0.44711717379273286	0.13332732074317866	0.09816435252785527	4.430041954141935
inner	pn	0.5189964771270752	0.0025514960289001465	4.906192427600931	0.22950569638376064	5.36076364583832	-1.9806533144924292	0.47052467389436553	0.1376723200892403	0.09731152981922486	4.655255122035485
inner	pn	0.5240974724292755	0.002549499273300171	5.144065243565634	0.2348182742606012	5.617724101504136	-2.0171294565125524	0.4955512422069928	0.1423280535065554	0.09647485394245656	4.88336995184814
inner	pn	0.5291949808597565	0.002548009157180786	5.523423218151555	0.24318722457085723	5.869863064677289	-1.4245807818937968	0.5210195076534304	0.14716479414767616	0.09566748549823861	5.106011277377941
inner	pn	0.5342884957790375	0.0025455057621002197	6.181106801548217	0.2567048839061186	6.106095292898746	0.29220912164999524	0.5456011696659073	0.1520306387841539	0.09490532034705451	5.313558164101637
