distance_arcmin	distance_km	surface_brightness	error	coverage	smooth	reflected_smooth
-11.875	-972805.9375	0.0006406244193783118	0.00030130249885036866	1.0	0.0009375892456597839	0.0009294475104960916
-11.625	-952325.8125	0.0012623765325155108	0.00036078342923685216	1.0	0.0009846847375225185	0.0009384560608723238
-11.375	-931845.6875	0.0009363166535172076	0.000323459383631921	1.0	0.0010123315333924357	0.0009631417294052552
-11.125	-911365.5625	0.0013812230094229652	0.0003671524175945279	1.0	0.000957842801865944	0.0010055322108330367
-10.875	-890885.4375	0.0007380248030504498	0.00029157907521612395	1.0	0.0009360211190213283	0.001000876093557418
-10.625	-870405.3125	0.000528196986579001	0.0002717266412243153	1.0	0.000949077016388755	0.0010072473748179945
-10.375	-849925.1875	0.001196649076974488	0.0003319510847643874	1.0	0.0009050735344682075	0.001072033235960455
-10.125	-829445.0625	0.0008777254942443078	0.00029859888424890914	1.0	0.0009682272204956473	0.0011512558565568345
-9.875	-808964.9375	0.001071533451049197	0.00031065282141877194	1.0	0.0009205068791379606	0.00106830214324174
-9.625	-788484.8125	0.0007681215975699249	0.0002761777961625239	1.0	0.000978545818644817	0.0011236265867751068
-9.375	-768004.6875	0.001088587917200295	0.0003100389200447532	1.0	0.0010974822776607291	0.0011944564215631325
-9.125	-747524.5625	0.001248119317900571	0.00031909655281202255	1.0	0.00120628510076445	0.0011824803213212997
-8.875	-727044.4375	0.0015345295222975721	0.00034380982040845524	1.0	0.0011386645073631278	0.0012594533435058663
-8.625	-706564.3125	0.0009643579964892124	0.00028274770168496	1.0	0.00104697087270796	0.0012333433427072185
-8.375	-686084.1875	0.0010552628188185904	0.0002871839552489923	1.0	0.0010022351025221845	0.0013158161667268442
-8.125	-665604.0625	0.0007577135981115223	0.000255668398303334	1.0	0.0009720493823084011	0.0014047710416652704
-7.875	-645123.9375	0.000803052048556726	0.0002541775023036654	1.0	0.001017355290871463	0.001335460279867334
-7.625	-624643.8125	0.0008217358398504717	0.0002518182388057913	1.0	0.0010453369291161898	0.0012857163355527658
-7.375	-604163.6875	0.0011999590394038402	0.0002943119566208463	1.0	0.0012438006640098688	0.001238006405110421
-7.125	-583683.5625	0.0013880496138061944	0.00029983048517321574	1.0	0.0013461926729121528	0.001358514590997399
-6.875	-563203.4375	0.0013449313577244318	0.0002990037494023404	1.0	0.0012657435756510955	0.0015089794685747425
-6.625	-542723.3125	0.0008689279294952563	0.0002536508378178077	1.0	0.0012387247637953057	0.0014915812344602575
-6.375	-522243.1875	0.0014244095106147568	0.0003019567593505509	1.0	0.0014674372155330587	0.0014840603086535443
-6.125	-501763.0625	0.001965009398016343	0.00034906774404922896	1.0	0.0015809464815973414	0.0014938101693830741
-5.875	-481282.9375	0.0011445109359697451	0.00027551735646468977	1.0	0.0013579590303009932	0.001650913822430993
-5.625	-460802.8125	0.0008407764713477392	0.0002412805286466184	1.0	0.0012362094853738384	0.001778887852843483
-5.375	-440322.6875	0.0015074405293502115	0.00030202893405158914	1.0	0.0013726672287177177	0.002075018049079072
-5.125	-419842.5625	0.001642130551928133	0.00031177221463053815	1.0	0.00146026984018314	0.0022911309577166986
-4.875	-399362.4375	0.001100554145474625	0.0002632443310902795	1.0	0.0014616483097318752	0.002429092644913336
-4.625	-378882.3125	0.0016266680810191315	0.00029952171390015657	1.0	0.0015169690813360095	0.002451785039739352
-4.375	-358402.1875	0.0018763121458397717	0.00032092181024149504	1.0	0.0017353471177853198	0.0026418820366614156
-4.125	-337922.0625	0.0016624951401014013	0.00030347976340285135	1.0	0.0019482502088703458	0.002709972398963972
-3.875	-317441.9375	0.002313730081184331	0.0003515648607355851	1.0	0.002258729079279989	0.0026906336823984524
-3.625	-296961.8125	0.0021883835876339167	0.00033381554255348006	1.0	0.0023324056900235314	0.0027492142263480196
-3.375	-276481.6875	0.0021997261922905324	0.00034734642026652373	1.0	0.002595809535787579	0.0030761971782797006
-3.125	-256001.5625	0.003320849250882496	0.00039421649252991385	1.0	0.002849447985535092	0.003664687601681345
-2.875	-235521.4375	0.0024849349634763407	0.00035392492135172005	1.0	0.002862292957241218	0.0036771180950297827
-2.625	-215041.3125	0.0028783071167940255	0.00036665563085304663	1.0	0.0029161128999612897	0.003757504779265544
-2.375	-194561.1875	0.003415671226981198	0.0003883921496304771	1.0	0.003223718415692584	0.004331649809034183
-2.125	-174081.0625	0.0036978360161718554	0.00040279219324528047	1.0	0.003951219007786836	0.004772587454273336
-1.875	-153600.9375	0.003932762024405627	0.0004092736880349478	1.0	0.0043639071039594385	0.004971341070757362
-1.625	-133120.8125	0.005470914312892072	0.00048294110920516956	1.0	0.005241091380393285	0.005727755132416183
-1.375	-112640.6875	0.005327833939138636	0.0004548891115291425	1.0	0.005493408912421486	0.0068968317233299116
-1.125	-92160.5625	0.006470096683481353	0.0005055596514561274	1.0	0.006386578514658374	0.008898941747759442
-0.875	-71680.4375	0.008174769482040494	0.0005536380514421568	1.0	0.008645976682744458	0.010121399805934598
-0.625	-51200.3125	0.010886906581056352	0.000659057762962179	1.0	0.010918060145138048	0.012986296462882371
-0.375	-30720.1875	0.014198889157233139	0.0007296927165890489	1.0	0.014432765888391126	0.016049573526671728
-0.125	-10240.0625	0.018745708814251454	0.0008343291349402548	1.0	0.018876040242600745	0.019953235946614533
0.125	10240.0625	0.019819196485863236	0.0008508611264962967	1.0	0.019953235946614533	0.018876040242600745
0.375	30720.1875	0.015513904632910419	0.0007546566938738292	1.0	0.016049573526671728	0.014432765888391126
0.625	51200.3125	0.013224776686039481	0.0007244537519454106	1.0	0.012986296462882371	0.010918060145138048
0.875	71680.4375	0.010018177520151867	0.0006202745525916415	1.0	0.010121399805934598	0.008645976682744458
1.125	92160.5625	0.008476062540173333	0.0005863830259878537	1.0	0.008898941747759442	0.006386578514658374
1.375	112640.6875	0.006672978665408804	0.0005216756072040047	1.0	0.0068968317233299116	0.005493408912421486
1.625	133120.8125	0.005838680057807179	0.0004997066138809137	1.0	0.005727755132416183	0.005241091380393285
1.875	153600.9375	0.004667459660464086	0.00045263413015369787	1.0	0.004971341070757362	0.0043639071039594385
2.125	174081.0625	0.0047942244474171725	0.0004541548167721549	1.0	0.004772587454273336	0.003951219007786836
2.375	194561.1875	0.0043351178478731964	0.0004421844095100136	1.0	0.004331649809034183	0.003223718415692584
2.625	215041.3125	0.003296499165584533	0.000388952093837777	1.0	0.003757504779265544	0.0029161128999612897
2.875	235521.4375	0.003724230131260021	0.0004254017910697767	1.0	0.0036771180950297827	0.002862292957241218
3.125	256001.5625	0.0036127873817296376	0.0004236567998125371	0.9827586206896551	0.003664687601681345	0.002849447985535092
3.375	276481.6875	0.0031459956347997804	0.0004013725599427649	1.0	0.0030761971782797006	0.002595809535787579
3.625	296961.8125	0.002412153915815372	0.00035936326799578027	0.9655172413793104	0.0027492142263480196	0.0023324056900235314
3.875	317441.9375	0.002939392962546694	0.0004166852425716295	0.9454545454545454	0.0026906336823984524	0.002258729079279989
4.125	337922.0625	0.002359362991164596	0.0003794607532518586	0.9298245614035088	0.002709972398963972	0.0019482502088703458
4.375	358402.1875	0.002464379884850354	0.0003875252768910393	0.9285714285714286	0.0026418820366614156	0.0017353471177853198
4.625	378882.3125	0.0024015021711016856	0.00037182677123513767	0.9285714285714286	0.002451785039739352	0.0015169690813360095
4.875	399362.4375	0.0023942481873166967	0.0003669096173423106	0.9122807017543859	0.002429092644913336	0.0014616483097318752
5.125	419842.5625	0.002717340347486492	0.00039437515298361897	0.9107142857142857	0.0022911309577166986	0.00146026984018314
5.375	440322.6875	0.0016618649828994097	0.0003273004686016237	0.8771929824561403	0.002075018049079072	0.0013726672287177177
