2025-11-08T00:30:00.000Z,52,5.0,650
2025-11-08T01:30:00.000Z,52,3.9,640
2025-11-08T02:30:00.000Z,52,5.2,647
2025-11-08T03:30:00.000Z,52,3.7,638
2025-11-08T04:30:00.000Z,52,3.8,634
2025-11-08T05:30:00.000Z,52,3.2,626
2025-11-08T06:30:00.000Z,52,3.1,624
2025-11-08T07:30:00.000Z,52,3.0,613
2025-11-08T08:30:00.000Z,52,3.6,622
2025-11-08T09:30:00.000Z,52,3.1,596
2025-11-08T10:30:00.000Z,52,4.1,627
2025-11-08T11:30:00.000Z,52,4.0,638
2025-11-08T12:30:00.000Z,52,3.8,653
2025-11-08T13:30:00.000Z,52,3.6,648
2025-11-08T14:30:00.000Z,52,3.4,652
2025-11-08T15:30:00.000Z,52,3.1,646
2025-11-08T16:30:00.000Z,52,3.3,649
2025-11-08T17:30:00.000Z,52,3.0,642
2025-11-08T18:30:00.000Z,52,2.9,639
2025-11-08T19:30:00.000Z,52,2.8,618
2025-11-08T20:30:00.000Z,52,2.7,613
2025-11-08T21:30:00.000Z,52,2.7,610
2025-11-08T22:30:00.000Z,52,2.6,600
2025-11-08T23:30:00.000Z,52,3.1,607
2025-11-09T00:30:00.000Z,52,2.8,595
2025-11-09T01:30:00.000Z,52,2.8,598
2025-11-09T02:30:00.000Z,52,3.1,598
2025-11-09T03:30:00.000Z,52,3.0,583
2025-11-09T04:30:00.000Z,52,3.3,576
2025-11-09T05:30:00.000Z,52,3.5,574
2025-11-09T06:30:00.000Z,52,3.0,570
2025-11-09T07:30:00.000Z,52,3.2,587
2025-11-09T08:30:00.000Z,52,3.3,563
2025-11-09T09:30:00.000Z,52,3.2,543
2025-11-09T10:30:00.000Z,52,3.2,524
2025-11-09T11:30:00.000Z,52,3.5,526
2025-11-09T12:30:00.000Z,52,3.7,536
2025-11-09T13:30:00.000Z,52,3.8,521
2025-11-09T14:30:00.000Z,52,4.2,521
2025-11-09T15:30:00.000Z,52,4.3,527
2025-11-09T16:30:00.000Z,52,4.6,520
2025-11-09T17:30:00.000Z,52,5.3,516
2025-11-09T18:30:00.000Z,52,5.4,504
2025-11-09T19:30:00.000Z,52,7.3,517
2025-11-09T20:30:00.000Z,52,7.4,512
2025-11-09T21:30:00.000Z,52,5.7,550
2025-11-09T22:30:00.000Z,52,7.0,550
2025-11-09T23:30:00.000Z,52,7.1,539
2025-11-10T00:30:00.000Z,52,6.4,549
2025-11-10T01:30:00.000Z,52,6.1,527
2025-11-10T02:30:00.000Z,52,6.3,541
2025-11-10T03:30:00.000Z,52,5.4,560
2025-11-10T04:30:00.000Z,52,4.5,581
2025-11-10T05:30:00.000Z,52,3.9,581
2025-11-10T06:30:00.000Z,52,4.4,573
2025-11-10T07:30:00.000Z,52,4.4,557
2025-11-10T08:30:00.000Z,52,4.3,524
2025-11-10T09:30:00.000Z,52,4.4,520
2025-11-10T10:30:00.000Z,52,4.8,518
2025-11-10T11:30:00.000Z,52,4.7,518
2025-11-10T12:30:00.000Z,52,5.4,521
2025-11-10T13:30:00.000Z,52,8.6,543
2025-11-10T14:30:00.000Z,52,7.9,549
2025-11-10T15:30:00.000Z,52,8.0,561
2025-11-10T16:30:00.000Z,52,11.4,557
2025-11-10T17:30:00.000Z,52,13.6,550
2025-11-10T18:30:00.000Z,52,14.3,542
2025-11-10T19:30:00.000Z,52,10.8,532
2025-11-10T20:30:00.000Z,52,6.2,516
2025-11-10T21:30:00.000Z,52,4.7,513
2025-11-10T22:30:00.000Z,52,6.8,502
2025-11-10T23:30:00.000Z,52,4.7,489
2025-11-11T00:30:00.000Z,52,3.8,473
2025-11-11T01:30:00.000Z,52,3.5,466
2025-11-11T02:30:00.000Z,52,4.0,464
2025-11-11T03:30:00.000Z,52,3.0,459
2025-11-11T04:30:00.000Z,52,3.3,453
2025-11-11T05:30:00.000Z,52,5.1,449
2025-11-11T06:30:00.000Z,52,4.4,445
2025-11-11T07:30:00.000Z,52,4.2,441
2025-11-11T08:30:00.000Z,52,5.3,437
2025-11-11T09:30:00.000Z,52,3.5,431
2025-11-11T10:30:00.000Z,52,2.9,429
2025-11-11T11:30:00.000Z,52,2.6,425
2025-11-11T12:30:00.000Z,52,2.8,425
2025-11-11T13:30:00.000Z,52,3.1,424
2025-11-11T14:30:00.000Z,52,3.4,421
2025-11-11T15:30:00.000Z,52,3.2,419
2025-11-11T16:30:00.000Z,52,3.1,415
2025-11-11T17:30:00.000Z,52,3.5,412
2025-11-11T18:30:00.000Z,52,3.4,412
2025-11-11T19:30:00.000Z,52,3.3,410
2025-11-11T20:30:00.000Z,52,3.9,408
2025-11-11T21:30:00.000Z,52,3.2,400
2025-11-11T22:30:00.000Z,52,3.2,400
2025-11-11T23:30:00.000Z,52,9.2,469
2025-11-12T00:30:00.000Z,52,25.4,598
2025-11-12T01:30:00.000Z,52,28.2,729
2025-11-12T02:30:00.000Z,52,26.3,713
2025-11-12T03:30:00.000Z,52,17.3,816
2025-11-12T04:30:00.000Z,52,6.0,793
