r_lo_arcmin	r_hi_arcmin	r_arcmin	events_count	qpb_count	sp_count	oot_count	exposure_s_arcmin2	coverage	net_ct_s_arcmin2	error_ct_s_arcmin2	comet_model_ct_s_arcmin2	sky_ct_s_arcmin2
0.0	0.25	0.16666666666666666	795.0	1.9674037583172321	2.6218089684844017	91.0	33877.007916665985	1.0	0.023162546975914355	0.0008348846611477939	0.023816213227004952	0.0001331588036007339
0.25	0.5	0.38888888888888884	1706.0	5.906066335737705	7.0460215248167515	273.0	98857.2492361092	1.0	0.016952210637956076	0.00041952727312095846	0.016003032004762885	0.0001331588036007339
0.5	0.75	0.6333333333333333	2165.0	9.869051109999418	11.197402149438858	389.0	166324.61465277447	1.0	0.012742711300820725	0.00028120851253257364	0.012956348156047582	0.0001331588036007339
0.75	1.0	0.8809523809523808	2061.0	12.485800880938768	14.577802428975701	405.0	207007.50734374602	1.0	0.00970216695259754	0.00022082735314387175	0.010147763212711032	0.0001331588036007339
1.0	1.25	1.1296296296296295	2200.0	16.53375437669456	18.230175295844674	446.0	269692.83788193914	1.0	0.007924341213922097	0.0001753550789444186	0.007830137353610983	0.0001331588036007339
1.25	1.5	1.3787878787878787	2317.0	20.983379827812314	22.905682422220707	554.0	341833.1264930488	1.0	0.00654766540830115	0.00014220857674726616	0.00635976565479575	0.0001331588036007339
1.5	1.75	1.628205128205128	2295.0	24.250667771324515	26.764869555830956	568.0	395393.9142708255	1.0	0.00558481145756921	0.00012255866674523234	0.005338305973023962	0.0001331588036007339
1.75	2.0	1.8777777777777775	2178.0	27.241086315363646	29.199474101886153	639.0	435763.73675346334	1.0	0.004776217624460713	0.00010853745871709352	0.004611701465473337	0.0001331588036007339
2.0	2.25	2.127450980392157	2262.0	32.14888457208872	34.21376488544047	697.0	507617.5881597116	1.0	0.004238872727683095	9.511444896842607e-05	0.004057339080862292	0.0001331588036007339
2.25	2.5	2.3771929824561404	2234.0	35.76112770475447	38.00268578156829	780.0	560932.9592881831	1.0	0.0037635445583241033	8.569901378346118e-05	0.003612902469358932	0.0001331588036007339
2.5	2.75	2.626984126984127	2257.0	40.51999808289111	43.26942298747599	802.0	624329.3374999876	1.0	0.003399943669841841	7.754655667326172e-05	0.0032534676305440748	0.0001331588036007339
2.75	3.0	2.876811594202898	2232.0	42.36318879947066	44.72112978994846	781.0	645110.1924652652	1.0	0.003248611951706872	7.469893682853242e-05	0.0029621438598071903	0.0001331588036007339
3.0	3.25	3.1266666666666665	2164.0	45.224612791091204	47.928200574591756	776.0	686906.2090972083	1.0	0.0029435738967795197	6.921164002792653e-05	0.002722791079341388	0.0001331588036007339
3.25	3.5	3.3765432098765427	2279.0	52.130622955039144	54.478357972577214	925.0	780953.7788367893	1.0	0.0027070949348901355	6.259047118928794e-05	0.002512018333818376	0.0001331588036007339
3.5	3.75	3.626436781609195	2052.0	52.938451603055	54.475891921669245	891.0	778453.8654860944	1.0	0.0024259018295144036	5.974346856306116e-05	0.0023307577482125147	0.0001331588036007339
3.75	4.0	3.876344086021505	2140.0	56.675386127084494	59.046139346435666	947.0	823228.0628819284	1.0	0.0023864802028842587	5.774097331669338e-05	0.0021780541488617597	0.0001331588036007339
4.0	4.25	4.126262626262626	2174.0	62.252860464155674	64.57412292435765	962.0	886172.9373437333	1.0	0.0022417374001130514	5.417308285743187e-05	0.0020418762371812384	0.0001331588036007339
4.25	4.5	4.376190476190476	2182.0	66.99211234599352	68.43683302216232	1006.0	932164.5412673427	1.0	0.0021275139386181274	5.168737144337449e-05	0.0019196831432293873	0.0001331588036007339
4.5	4.75	4.626126126126126	2108.0	69.81357006169856	71.29296292737126	1095.0	958981.5926041469	1.0	0.0019790874836889158	4.950099646429592e-05	0.0018119061206907125	0.0001331588036007339
4.75	5.0	4.876068376068376	2067.0	72.86712336912751	74.29920691438019	1130.0	990609.1695485915	1.0	0.0018661685420890022	4.754908691784677e-05	0.001716475936649773	0.0001331588036007339
5.0	5.25	5.126016260162602	2087.0	77.95187606848776	78.83773273229599	1132.0	1037870.9496180363	1.0	0.0017910650566752427	4.5685889562051584e-05	0.001630277430189167	0.0001331588036007339
5.25	5.5	5.375968992248062	1961.0	80.4185842461884	80.0990032684058	1106.0	1068818.3681076197	1.0	0.0016193625260668525	4.313881916580637e-05	0.0015515971778209431	0.0001331588036007339
5.5	5.75	5.625925925925926	1805.0	77.15907122194767	75.63801410421729	1191.0	1021088.5360069254	1.0	0.0015445966329634105	4.338544997619756e-05	0.0014803484769748524	0.0001331588036007339
5.75	6.0	5.875886524822694	1821.0	80.54907321743667	76.97637282963842	1224.0	1054850.7197916454	1.0	0.0015038739834829556	4.221942795842878e-05	0.0014154656930874159	0.0001331588036007339
6.0	6.25	6.125850340136053	1654.0	80.80419865995646	76.25167146604508	1230.0	1050287.5080902562	1.0	0.0013514910145461026	4.057348170919557e-05	0.0013554490918330111	0.0001331588036007339
6.25	6.5	6.375816993464052	1703.0	81.91139450669289	76.74384150374681	1282.0	1053095.002291647	1.0	0.0013897879686112428	4.102747329533953e-05	0.0013004499760131878	0.0001331588036007339
6.5	6.75	6.625786163522012	1691.0	85.4200493786484	79.03971750941128	1317.0	1083101.0564062258	1.0	0.0013328112132969042	3.9826090404032175e-05	0.001249245913280088	0.0001331588036007339
6.75	7.0	6.875757575757575	1577.0	83.62041126005352	76.88347903918475	1294.0	1046548.0036284522	1.0	0.001275597588521804	3.988822011890474e-05	0.0012023589438253332	0.0001331588036007339
7.0	7.25	7.125730994152046	1600.0	88.25053722504526	80.17104707658291	1297.0	1080458.7619617844	1.0	0.0012493465398414865	3.8977671854109994e-05	0.0011591778551502693	0.0001331588036007339
7.25	7.5	7.375706214689265	1565.0	91.15392722189426	82.20815545879304	1283.0	1091713.328576366	1.0	0.001200689671004251	3.8246938069626934e-05	0.001118372971985539	0.0001331588036007339
7.5	7.75	7.625683060109289	1509.0	94.13660685904324	84.20392743032426	1276.0	1100389.497690948	1.0	0.001136208104797616	3.7385716670114464e-05	0.0010802470908837121	0.0001331588036007339
7.75	8.0	7.875661375661375	1530.0	95.01821960508823	84.86027122102678	1286.0	1089440.378142339	1.0	0.001164913229430599	3.80124966272328e-05	0.0010448889240595638	0.0001331588036007339
