kind	name	method	radius_arcsec	radius_km	measured_luminosity_erg_s	inferred_production_rate_s-1	task06_prior_inferred_rate_s-1	xmm_parent_rate_s-1	missing_rate_s-1	missing_fraction	b8_production_rate_s-1	predicted_luminosity_erg_s	observed_over_prediction	prediction_over_observed
aperture	120000_km	Wegmann Eq. 30 approximate Hyakutake-scale	87.88857310189125	120000.0	7774991656821177.0	1.0490501131988332e+29	9.841967020769845e+28	3.141842802631807e+28	7.348658329356525e+28	0.7005059374092729				
aperture	135000_km	Wegmann Eq. 30 approximate Hyakutake-scale	98.8746431501766	135000.0	8947584431712843.0	1.1253799456589356e+29	1.0558077418472866e+29	3.141842802631807e+28	8.111956653957549e+28	0.7208193717374103				
aperture	370_arcsec	Cabot B2-B7/B11-B12; v=1 km s-1	370.0	505185.63868738565	3.2433999767250816e+16	2.1817332248656728e+29	2.0372522034584348e+29	3.141842802631807e+28	1.867548944602492e+29	0.855993264124891				
end_member	H2O	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.2433999767250816e+16						1.2601778082280413e+28	911756360032287.0	35.57309955710347	0.02811112926481869
end_member	CO2	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.2433999767250816e+16						2.379729100606393e+28	3159655891614426.0	10.265041789306578	0.09741801548647683
end_member	CO	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.2433999767250816e+16						8.555108825375317e+28	3.612662126083267e+16	0.8977866912346636	1.1138503274366538
end_member	N2	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.2433999767250816e+16						9.27723988892917e+28	4.1968079292457976e+16	0.7728254500576939	1.293953246396514
end_member	H2	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.2433999767250816e+16						6.617305083101086e+29	1.1893734513524808e+18	0.027269819862187867	36.67057593536189
