mjd	ra_deg	dec_deg	r_au	delta_au
61012.85668981	177.8448431	1.4044167	1.870412	1.881884
61012.85738426	177.8441765	1.4046553	1.870430	1.881878
61012.85807870	177.8435099	1.4048940	1.870447	1.881871
61012.85877315	177.8428432	1.4051326	1.870464	1.881864
61012.85946759	177.8421765	1.4053712	1.870482	1.881857
61012.86016204	177.8415099	1.4056098	1.870499	1.881851
61012.86085648	177.8408432	1.4058483	1.870516	1.881844
61012.86155093	177.8401765	1.4060868	1.870533	1.881837
61012.86224537	177.8395097	1.4063253	1.870551	1.881830
61012.86293982	177.8388430	1.4065638	1.870568	1.881824
61012.86363426	177.8381762	1.4068023	1.870585	1.881817
61012.86432870	177.8375094	1.4070407	1.870602	1.881810
61012.86502315	177.8368426	1.4072791	1.870620	1.881803
61012.86571759	177.8361758	1.4075175	1.870637	1.881796
61012.86641204	177.8355090	1.4077559	1.870654	1.881790
61012.86710648	177.8348422	1.4079942	1.870672	1.881783
61012.86780093	177.8341753	1.4082326	1.870689	1.881776
61012.86849537	177.8335084	1.4084709	1.870706	1.881769
61012.86918982	177.8328415	1.4087092	1.870723	1.881763
61012.86988426	177.8321746	1.4089474	1.870741	1.881756
61012.87057870	177.8315077	1.4091856	1.870758	1.881749
61012.87127315	177.8308408	1.4094239	1.870775	1.881742
61012.87196759	177.8301738	1.4096621	1.870792	1.881736
61012.87266204	177.8295068	1.4099002	1.870810	1.881729
61012.87335648	177.8288398	1.4101384	1.870827	1.881722
61012.87405093	177.8281728	1.4103765	1.870844	1.881715
61012.87474537	177.8275058	1.4106146	1.870862	1.881709
61012.87543982	177.8268388	1.4108527	1.870879	1.881702
61012.87613426	177.8261717	1.4110907	1.870896	1.881695
61012.87682870	177.8255047	1.4113288	1.870913	1.881688
61012.87752315	177.8248376	1.4115668	1.870931	1.881682
61012.87821759	177.8241705	1.4118048	1.870948	1.881675
61012.87891204	177.8235034	1.4120427	1.870965	1.881668
61012.87960648	177.8228362	1.4122807	1.870983	1.881661
61012.88030093	177.8221691	1.4125186	1.871000	1.881655
61012.88099537	177.8215019	1.4127565	1.871017	1.881648
61012.88168981	177.8208348	1.4129944	1.871034	1.881641
61012.88238426	177.8201676	1.4132322	1.871052	1.881634
61012.88307870	177.8195003	1.4134700	1.871069	1.881628
61012.88377315	177.8188331	1.4137078	1.871086	1.881621
61012.88446759	177.8181659	1.4139456	1.871103	1.881614
61012.88516204	177.8174986	1.4141834	1.871121	1.881607
61012.88585648	177.8168314	1.4144211	1.871138	1.881601
61012.88655093	177.8161641	1.4146588	1.871155	1.881594
61012.88724537	177.8154968	1.4148965	1.871173	1.881587
61012.88793981	177.8148295	1.4151342	1.871190	1.881580
61012.88863426	177.8141621	1.4153719	1.871207	1.881574
61012.88932870	177.8134948	1.4156095	1.871224	1.881567
61012.89002315	177.8128274	1.4158471	1.871242	1.881560
61012.89071759	177.8121600	1.4160847	1.871259	1.881553
61012.89141204	177.8114926	1.4163222	1.871276	1.881547
61012.89210648	177.8108252	1.4165597	1.871294	1.881540
61012.89280093	177.8101578	1.4167973	1.871311	1.881533
61012.89349537	177.8094904	1.4170347	1.871328	1.881527
61012.89418982	177.8088229	1.4172722	1.871345	1.881520
61012.89488426	177.8081554	1.4175097	1.871363	1.881513
61012.89557870	177.8074879	1.4177471	1.871380	1.881506
61012.89627315	177.8068204	1.4179845	1.871397	1.881500
61012.89696759	177.8061529	1.4182218	1.871415	1.881493
61012.89766204	177.8054854	1.4184592	1.871432	1.881486
61012.89835648	177.8048179	1.4186965	1.871449	1.881479
61012.89905093	177.8041503	1.4189338	1.871466	1.881473
61012.89974537	177.8034827	1.4191711	1.871484	1.881466
61012.90043982	177.8028151	1.4194084	1.871501	1.881459
61012.90113426	177.8021475	1.4196456	1.871518	1.881452
61012.90182870	177.8014799	1.4198828	1.871535	1.881446
61012.90252315	177.8008123	1.4201200	1.871553	1.881439
61012.90321759	177.8001446	1.4203572	1.871570	1.881432
61012.90391204	177.7994769	1.4205943	1.871587	1.881426
61012.90460648	177.7988093	1.4208315	1.871605	1.881419
61012.90530093	177.7981416	1.4210686	1.871622	1.881412
61012.90599537	177.7974739	1.4213056	1.871639	1.881405
61012.90668982	177.7968061	1.4215427	1.871656	1.881399
61012.90738426	177.7961384	1.4217797	1.871674	1.881392
61012.90807870	177.7954706	1.4220167	1.871691	1.881385
61012.90877315	177.7948029	1.4222537	1.871708	1.881379
61012.90946759	177.7941351	1.4224907	1.871726	1.881372
61012.91016204	177.7934673	1.4227276	1.871743	1.881365
61012.91085648	177.7927995	1.4229645	1.871760	1.881358
61012.91155093	177.7921317	1.4232014	1.871777	1.881352
61012.91224537	177.7914638	1.4234383	1.871795	1.881345
61012.91293981	177.7907960	1.4236751	1.871812	1.881338
61012.91363426	177.7901281	1.4239119	1.871829	1.881331
61012.91432870	177.7894602	1.4241488	1.871847	1.881325
61012.91502315	177.7887923	1.4243855	1.871864	1.881318
61012.91571759	177.7881244	1.4246223	1.871881	1.881311
61012.91641204	177.7874565	1.4248590	1.871898	1.881305
61012.91710648	177.7867885	1.4250957	1.871916	1.881298
61012.91780093	177.7861206	1.4253324	1.871933	1.881291
61012.91849537	177.7854526	1.4255691	1.871950	1.881284
61012.91918981	177.7847846	1.4258057	1.871968	1.881278
61012.91988426	177.7841166	1.4260423	1.871985	1.881271
61012.92057870	177.7834486	1.4262789	1.872002	1.881264
61012.92127315	177.7827806	1.4265155	1.872019	1.881258
61012.92196759	177.7821125	1.4267520	1.872037	1.881251
61012.92266204	177.7814445	1.4269885	1.872054	1.881244
61012.92335648	177.7807764	1.4272250	1.872071	1.881238
61012.92405093	177.7801083	1.4274615	1.872089	1.881231
61012.92474537	177.7794402	1.4276980	1.872106	1.881224
61012.92543982	177.7787721	1.4279344	1.872123	1.881217
61012.92613426	177.7781040	1.4281708	1.872140	1.881211
61012.92682870	177.7774358	1.4284072	1.872158	1.881204
61012.92752315	177.7767677	1.4286436	1.872175	1.881197
61012.92821759	177.7760995	1.4288799	1.872192	1.881191
61012.92891204	177.7754313	1.4291162	1.872210	1.881184
61012.92960648	177.7747631	1.4293525	1.872227	1.881177
61012.93030093	177.7740949	1.4295888	1.872244	1.881170
61012.93099537	177.7734267	1.4298250	1.872261	1.881164
61012.93168982	177.7727584	1.4300612	1.872279	1.881157
61012.93238426	177.7720902	1.4302974	1.872296	1.881150
61012.93307870	177.7714219	1.4305336	1.872313	1.881144
61012.93377315	177.7707536	1.4307697	1.872331	1.881137
61012.93446759	177.7700853	1.4310059	1.872348	1.881130
61012.93516204	177.7694170	1.4312420	1.872365	1.881124
61012.93585648	177.7687487	1.4314781	1.872383	1.881117
61012.93655093	177.7680804	1.4317141	1.872400	1.881110
61012.93724537	177.7674120	1.4319501	1.872417	1.881104
61012.93793982	177.7667437	1.4321862	1.872434	1.881097
61012.93863426	177.7660753	1.4324221	1.872452	1.881090
61012.93932870	177.7654069	1.4326581	1.872469	1.881083
61012.94002315	177.7647385	1.4328940	1.872486	1.881077
61012.94071759	177.7640701	1.4331300	1.872504	1.881070
61012.94141204	177.7634017	1.4333658	1.872521	1.881063
61012.94210648	177.7627332	1.4336017	1.872538	1.881057
61012.94280093	177.7620648	1.4338376	1.872555	1.881050
61012.94349537	177.7613963	1.4340734	1.872573	1.881043
61012.94418981	177.7607278	1.4343092	1.872590	1.881037
61012.94488426	177.7600593	1.4345450	1.872607	1.881030
61012.94557870	177.7593908	1.4347807	1.872625	1.881023
61012.94627315	177.7587223	1.4350164	1.872642	1.881017
61012.94696759	177.7580537	1.4352521	1.872659	1.881010
61012.94766204	177.7573852	1.4354878	1.872676	1.881003
61012.94835648	177.7567166	1.4357235	1.872694	1.880997
61012.94905093	177.7560480	1.4359591	1.872711	1.880990
61012.94974537	177.7553795	1.4361947	1.872728	1.880983
61012.95043981	177.7547108	1.4364303	1.872746	1.880976
61012.95113426	177.7540422	1.4366659	1.872763	1.880970
61012.95182870	177.7533736	1.4369014	1.872780	1.880963
61012.95252315	177.7527050	1.4371369	1.872798	1.880956
61012.95321759	177.7520363	1.4373724	1.872815	1.880950
61012.95391204	177.7513676	1.4376079	1.872832	1.880943
61012.95460648	177.7506990	1.4378433	1.872849	1.880936
61012.95530093	177.7500303	1.4380788	1.872867	1.880930
61012.95599537	177.7493616	1.4383141	1.872884	1.880923
61012.95668982	177.7486928	1.4385495	1.872901	1.880916
61012.95738426	177.7480241	1.4387849	1.872919	1.880910
61012.95807870	177.7473554	1.4390202	1.872936	1.880903
61012.95877315	177.7466866	1.4392555	1.872953	1.880896
61012.95946759	177.7460178	1.4394908	1.872970	1.880890
61012.96016204	177.7453490	1.4397260	1.872988	1.880883
61012.96085648	177.7446802	1.4399613	1.873005	1.880876
61012.96155093	177.7440114	1.4401965	1.873022	1.880870
61012.96224537	177.7433426	1.4404317	1.873040	1.880863
61012.96293982	177.7426738	1.4406668	1.873057	1.880856
61012.96363426	177.7420049	1.4409019	1.873074	1.880850
61012.96432870	177.7413361	1.4411371	1.873092	1.880843
61012.96502315	177.7406672	1.4413721	1.873109	1.880836
61012.96571759	177.7399983	1.4416072	1.873126	1.880830
61012.96641204	177.7393294	1.4418422	1.873143	1.880823
61012.96710648	177.7386605	1.4420773	1.873161	1.880816
61012.96780093	177.7379916	1.4423123	1.873178	1.880810
61012.96849537	177.7373226	1.4425472	1.873195	1.880803
61012.96918982	177.7366537	1.4427822	1.873213	1.880796
61012.96988426	177.7359847	1.4430171	1.873230	1.880790
61012.97057870	177.7353157	1.4432520	1.873247	1.880783
61012.97127315	177.7346468	1.4434869	1.873265	1.880776
61012.97196759	177.7339778	1.4437217	1.873282	1.880770
61012.97266204	177.7333088	1.4439565	1.873299	1.880763
61012.97335648	177.7326397	1.4441913	1.873316	1.880756
61012.97405093	177.7319707	1.4444261	1.873334	1.880750
61012.97474537	177.7313016	1.4446609	1.873351	1.880743
61012.97543981	177.7306326	1.4448956	1.873368	1.880736
61012.97613426	177.7299635	1.4451303	1.873386	1.880730
61012.97682870	177.7292944	1.4453650	1.873403	1.880723
61012.97752315	177.7286253	1.4455996	1.873420	1.880716
61012.97821759	177.7279562	1.4458343	1.873438	1.880710
61012.97891204	177.7272871	1.4460689	1.873455	1.880703
61012.97960648	177.7266180	1.4463035	1.873472	1.880696
61012.98030093	177.7259488	1.4465380	1.873489	1.880690
61012.98099537	177.7252797	1.4467726	1.873507	1.880683
61012.98168981	177.7246105	1.4470071	1.873524	1.880676
61012.98238426	177.7239413	1.4472416	1.873541	1.880670
61012.98307870	177.7232721	1.4474760	1.873559	1.880663
61012.98377315	177.7226029	1.4477105	1.873576	1.880657
61012.98446759	177.7219337	1.4479449	1.873593	1.880650
61012.98516204	177.7212645	1.4481793	1.873611	1.880643
61012.98585648	177.7205952	1.4484136	1.873628	1.880637
61012.98655093	177.7199260	1.4486480	1.873645	1.880630
61012.98724537	177.7192567	1.4488823	1.873662	1.880623
61012.98793982	177.7185874	1.4491166	1.873680	1.880617
61012.98863426	177.7179182	1.4493509	1.873697	1.880610
61012.98932870	177.7172489	1.4495851	1.873714	1.880603
61012.99002315	177.7165795	1.4498193	1.873732	1.880597
61012.99071759	177.7159102	1.4500535	1.873749	1.880590
61012.99141204	177.7152409	1.4502877	1.873766	1.880583
61012.99210648	177.7145715	1.4505219	1.873784	1.880577
61012.99280093	177.7139022	1.4507560	1.873801	1.880570
61012.99349537	177.7132328	1.4509901	1.873818	1.880563
61012.99418982	177.7125634	1.4512242	1.873836	1.880557
61012.99488426	177.7118940	1.4514582	1.873853	1.880550
61012.99557870	177.7112246	1.4516922	1.873870	1.880544
61012.99627315	177.7105552	1.4519262	1.873887	1.880537
61012.99696759	177.7098858	1.4521602	1.873905	1.880530
61012.99766204	177.7092164	1.4523942	1.873922	1.880524
61012.99835648	177.7085469	1.4526281	1.873939	1.880517
61012.99905093	177.7078774	1.4528620	1.873957	1.880510
61012.99974537	177.7072080	1.4530959	1.873974	1.880504
61013.00043982	177.7065385	1.4533297	1.873991	1.880497
61013.00113426	177.7058690	1.4535636	1.874009	1.880490
61013.00182870	177.7051995	1.4537974	1.874026	1.880484
61013.00252315	177.7045300	1.4540312	1.874043	1.880477
61013.00321759	177.7038604	1.4542649	1.874061	1.880471
61013.00391204	177.7031909	1.4544987	1.874078	1.880464
61013.00460648	177.7025213	1.4547324	1.874095	1.880457
61013.00530093	177.7018518	1.4549660	1.874112	1.880451
61013.00599537	177.7011822	1.4551997	1.874130	1.880444
61013.00668981	177.7005126	1.4554333	1.874147	1.880437
61013.00738426	177.6998430	1.4556670	1.874164	1.880431
61013.00807870	177.6991734	1.4559005	1.874182	1.880424
61013.00877315	177.6985038	1.4561341	1.874199	1.880418
61013.00946759	177.6978342	1.4563676	1.874216	1.880411
61013.01016204	177.6971645	1.4566012	1.874234	1.880404
61013.01085648	177.6964949	1.4568346	1.874251	1.880398
61013.01155093	177.6958252	1.4570681	1.874268	1.880391
61013.01224537	177.6951556	1.4573015	1.874286	1.880384
61013.01293981	177.6944859	1.4575350	1.874303	1.880378
61013.01363426	177.6938162	1.4577684	1.874320	1.880371
61013.01432870	177.6931465	1.4580017	1.874337	1.880365
61013.01502315	177.6924768	1.4582351	1.874355	1.880358
61013.01571759	177.6918070	1.4584684	1.874372	1.880351
61013.01641204	177.6911373	1.4587017	1.874389	1.880345
61013.01710648	177.6904676	1.4589349	1.874407	1.880338
61013.01780093	177.6897978	1.4591682	1.874424	1.880331
61013.01849537	177.6891280	1.4594014	1.874441	1.880325
61013.01918982	177.6884582	1.4596346	1.874459	1.880318
61013.01988426	177.6877885	1.4598677	1.874476	1.880312
61013.02057870	177.6871187	1.4601009	1.874493	1.880305
61013.02127315	177.6864488	1.4603340	1.874511	1.880298
61013.02196759	177.6857790	1.4605671	1.874528	1.880292
61013.02266204	177.6851092	1.4608002	1.874545	1.880285
61013.02335648	177.6844394	1.4610332	1.874562	1.880279
61013.02405093	177.6837695	1.4612662	1.874580	1.880272
61013.02474537	177.6830996	1.4614992	1.874597	1.880265
61013.02543982	177.6824298	1.4617322	1.874614	1.880259
61013.02613426	177.6817599	1.4619651	1.874632	1.880252
61013.02682870	177.6810900	1.4621981	1.874649	1.880245
61013.02752315	177.6804201	1.4624309	1.874666	1.880239
61013.02821759	177.6797502	1.4626638	1.874684	1.880232
61013.02891204	177.6790802	1.4628967	1.874701	1.880226
61013.02960648	177.6784103	1.4631295	1.874718	1.880219
61013.03030093	177.6777404	1.4633623	1.874736	1.880212
61013.03099537	177.6770704	1.4635950	1.874753	1.880206
61013.03168982	177.6764004	1.4638278	1.874770	1.880199
61013.03238426	177.6757305	1.4640605	1.874788	1.880193
61013.03307870	177.6750605	1.4642932	1.874805	1.880186
61013.03377315	177.6743905	1.4645259	1.874822	1.880179
61013.03446759	177.6737205	1.4647585	1.874839	1.880173
61013.03516204	177.6730505	1.4649911	1.874857	1.880166
61013.03585648	177.6723804	1.4652237	1.874874	1.880160
61013.03655093	177.6717104	1.4654563	1.874891	1.880153
61013.03724537	177.6710404	1.4656888	1.874909	1.880146
61013.03793981	177.6703703	1.4659213	1.874926	1.880140
61013.03863426	177.6697002	1.4661538	1.874943	1.880133
61013.03932870	177.6690302	1.4663863	1.874961	1.880127
61013.04002315	177.6683601	1.4666188	1.874978	1.880120
61013.04071759	177.6676900	1.4668512	1.874995	1.880113
61013.04141204	177.6670199	1.4670836	1.875013	1.880107
61013.04210648	177.6663498	1.4673159	1.875030	1.880100
61013.04280093	177.6656796	1.4675483	1.875047	1.880094
61013.04349537	177.6650095	1.4677806	1.875065	1.880087
61013.04418981	177.6643394	1.4680129	1.875082	1.880080
61013.04488426	177.6636692	1.4682451	1.875099	1.880074
61013.04557870	177.6629991	1.4684774	1.875117	1.880067
61013.04627315	177.6623289	1.4687096	1.875134	1.880061
61013.04696759	177.6616587	1.4689418	1.875151	1.880054
61013.04766204	177.6609885	1.4691740	1.875169	1.880047
61013.04835648	177.6603183	1.4694061	1.875186	1.880041
61013.04905093	177.6596481	1.4696382	1.875203	1.880034
61013.04974537	177.6589779	1.4698703	1.875220	1.880028
61013.05043982	177.6583077	1.4701024	1.875238	1.880021
61013.05113426	177.6576374	1.4703344	1.875255	1.880014
61013.05182870	177.6569672	1.4705664	1.875272	1.880008
61013.05252315	177.6562969	1.4707984	1.875290	1.880001
61013.05321759	177.6556266	1.4710304	1.875307	1.879995
61013.05391204	177.6549564	1.4712623	1.875324	1.879988
61013.05460648	177.6542861	1.4714942	1.875342	1.879982
61013.05530093	177.6536158	1.4717261	1.875359	1.879975
61013.05599537	177.6529455	1.4719579	1.875376	1.879968
61013.05668982	177.6522752	1.4721898	1.875394	1.879962
61013.05738426	177.6516049	1.4724216	1.875411	1.879955
61013.05807870	177.6509345	1.4726534	1.875428	1.879949
61013.05877315	177.6502642	1.4728851	1.875446	1.879942
61013.05946759	177.6495938	1.4731169	1.875463	1.879935
61013.06016204	177.6489235	1.4733486	1.875480	1.879929
61013.06085648	177.6482531	1.4735802	1.875498	1.879922
61013.06155093	177.6475828	1.4738119	1.875515	1.879916
61013.06224537	177.6469124	1.4740435	1.875532	1.879909
61013.06293982	177.6462420	1.4742751	1.875550	1.879903
61013.06363426	177.6455716	1.4745067	1.875567	1.879896
61013.06432870	177.6449012	1.4747383	1.875584	1.879889
61013.06502315	177.6442307	1.4749698	1.875602	1.879883
61013.06571759	177.6435603	1.4752013	1.875619	1.879876
61013.06641204	177.6428899	1.4754328	1.875636	1.879870
61013.06710648	177.6422194	1.4756642	1.875653	1.879863
61013.06780093	177.6415490	1.4758956	1.875671	1.879857
61013.06849537	177.6408785	1.4761270	1.875688	1.879850
61013.06918981	177.6402081	1.4763584	1.875705	1.879843
61013.06988426	177.6395376	1.4765898	1.875723	1.879837
61013.07057870	177.6388671	1.4768211	1.875740	1.879830
61013.07127315	177.6381966	1.4770524	1.875757	1.879824
61013.07196759	177.6375261	1.4772836	1.875775	1.879817
61013.07266204	177.6368556	1.4775149	1.875792	1.879811
61013.07335648	177.6361850	1.4777461	1.875809	1.879804
61013.07405093	177.6355145	1.4779773	1.875827	1.879797
61013.07474537	177.6348440	1.4782084	1.875844	1.879791
61013.07543981	177.6341734	1.4784396	1.875861	1.879784
61013.07613426	177.6335029	1.4786707	1.875879	1.879778
61013.07682870	177.6328323	1.4789018	1.875896	1.879771
61013.07752315	177.6321617	1.4791329	1.875913	1.879765
61013.07821759	177.6314912	1.4793639	1.875931	1.879758
61013.07891204	177.6308206	1.4795949	1.875948	1.879752
61013.07960648	177.6301500	1.4798259	1.875965	1.879745
61013.08030093	177.6294794	1.4800568	1.875983	1.879738
61013.08099537	177.6288088	1.4802878	1.876000	1.879732
61013.08168982	177.6281381	1.4805187	1.876017	1.879725
61013.08238426	177.6274675	1.4807496	1.876035	1.879719
61013.08307870	177.6267969	1.4809804	1.876052	1.879712
61013.08377315	177.6261262	1.4812112	1.876069	1.879706
61013.08446759	177.6254556	1.4814420	1.876087	1.879699
61013.08516204	177.6247849	1.4816728	1.876104	1.879692
61013.08585648	177.6241142	1.4819036	1.876121	1.879686
61013.08655093	177.6234436	1.4821343	1.876139	1.879679
61013.08724537	177.6227729	1.4823650	1.876156	1.879673
61013.08793982	177.6221022	1.4825956	1.876173	1.879666
61013.08863426	177.6214315	1.4828263	1.876191	1.879660
61013.08932870	177.6207608	1.4830569	1.876208	1.879653
61013.09002315	177.6200901	1.4832875	1.876225	1.879647
61013.09071759	177.6194193	1.4835181	1.876243	1.879640
61013.09141204	177.6187486	1.4837486	1.876260	1.879634
61013.09210648	177.6180779	1.4839791	1.876277	1.879627
61013.09280093	177.6174071	1.4842096	1.876295	1.879620
61013.09349537	177.6167364	1.4844401	1.876312	1.879614
61013.09418982	177.6160656	1.4846705	1.876329	1.879607
61013.09488426	177.6153948	1.4849009	1.876347	1.879601
61013.09557870	177.6147241	1.4851313	1.876364	1.879594
61013.09627315	177.6140533	1.4853616	1.876381	1.879588
61013.09696759	177.6133825	1.4855920	1.876398	1.879581
61013.09766204	177.6127117	1.4858223	1.876416	1.879575
61013.09835648	177.6120409	1.4860525	1.876433	1.879568
61013.09905093	177.6113701	1.4862828	1.876450	1.879562
61013.09974537	177.6106992	1.4865130	1.876468	1.879555
61013.10043981	177.6100284	1.4867432	1.876485	1.879548
61013.10113426	177.6093576	1.4869734	1.876502	1.879542
61013.10182870	177.6086867	1.4872035	1.876520	1.879535
61013.10252315	177.6080159	1.4874336	1.876537	1.879529
61013.10321759	177.6073450	1.4876637	1.876554	1.879522
61013.10391204	177.6066742	1.4878938	1.876572	1.879516
61013.10460648	177.6060033	1.4881238	1.876589	1.879509
61013.10530093	177.6053324	1.4883538	1.876606	1.879503
61013.10599537	177.6046615	1.4885838	1.876624	1.879496
61013.10668981	177.6039906	1.4888138	1.876641	1.879490
61013.10738426	177.6033197	1.4890437	1.876658	1.879483
61013.10807870	177.6026488	1.4892736	1.876676	1.879476
61013.10877315	177.6019779	1.4895035	1.876693	1.879470
61013.10946759	177.6013070	1.4897333	1.876710	1.879463
61013.11016204	177.6006361	1.4899632	1.876728	1.879457
61013.11085648	177.5999651	1.4901930	1.876745	1.879450
61013.11155093	177.5992942	1.4904227	1.876762	1.879444
61013.11224537	177.5986232	1.4906525	1.876780	1.879437
61013.11293982	177.5979523	1.4908822	1.876797	1.879431
61013.11363426	177.5972813	1.4911119	1.876814	1.879424
61013.11432870	177.5966103	1.4913416	1.876832	1.879418
61013.11502315	177.5959394	1.4915712	1.876849	1.879411
61013.11571759	177.5952684	1.4918008	1.876866	1.879405
61013.11641204	177.5945974	1.4920304	1.876884	1.879398
61013.11710648	177.5939264	1.4922599	1.876901	1.879392
61013.11780093	177.5932554	1.4924895	1.876918	1.879385
61013.11849537	177.5925844	1.4927190	1.876936	1.879379
61013.11918982	177.5919134	1.4929484	1.876953	1.879372
61013.11988426	177.5912424	1.4931779	1.876970	1.879365
61013.12057870	177.5905713	1.4934073	1.876988	1.879359
61013.12127315	177.5899003	1.4936367	1.877005	1.879352
61013.12196759	177.5892293	1.4938661	1.877022	1.879346
61013.12266204	177.5885582	1.4940954	1.877040	1.879339
61013.12335648	177.5878872	1.4943247	1.877057	1.879333
61013.12405093	177.5872161	1.4945540	1.877074	1.879326
61013.12474537	177.5865450	1.4947833	1.877092	1.879320
61013.12543982	177.5858740	1.4950125	1.877109	1.879313
61013.12613426	177.5852029	1.4952417	1.877127	1.879307
61013.12682870	177.5845318	1.4954709	1.877144	1.879300
61013.12752315	177.5838607	1.4957000	1.877161	1.879294
61013.12821759	177.5831896	1.4959292	1.877179	1.879287
61013.12891204	177.5825185	1.4961583	1.877196	1.879281
61013.12960648	177.5818474	1.4963873	1.877213	1.879274
61013.13030093	177.5811763	1.4966164	1.877231	1.879268
61013.13099537	177.5805052	1.4968454	1.877248	1.879261
61013.13168981	177.5798340	1.4970744	1.877265	1.879255
61013.13238426	177.5791629	1.4973033	1.877283	1.879248
61013.13307870	177.5784918	1.4975323	1.877300	1.879242
61013.13377315	177.5778206	1.4977612	1.877317	1.879235
61013.13446759	177.5771495	1.4979900	1.877335	1.879229
61013.13516204	177.5764783	1.4982189	1.877352	1.879222
61013.13585648	177.5758072	1.4984477	1.877369	1.879216
61013.13655093	177.5751360	1.4986765	1.877387	1.879209
61013.13724537	177.5744648	1.4989053	1.877404	1.879203
61013.13793981	177.5737936	1.4991340	1.877421	1.879196
61013.13863426	177.5731225	1.4993627	1.877439	1.879190
61013.13932870	177.5724513	1.4995914	1.877456	1.879183
61013.14002315	177.5717801	1.4998201	1.877473	1.879177
61013.14071759	177.5711089	1.5000487	1.877491	1.879170
61013.14141204	177.5704377	1.5002773	1.877508	1.879164
61013.14210648	177.5697665	1.5005059	1.877525	1.879157
61013.14280093	177.5690953	1.5007344	1.877543	1.879151
61013.14349537	177.5684240	1.5009630	1.877560	1.879144
61013.14418982	177.5677528	1.5011915	1.877577	1.879138
61013.14488426	177.5670816	1.5014199	1.877595	1.879131
61013.14557870	177.5664103	1.5016484	1.877612	1.879125
61013.14627315	177.5657391	1.5018768	1.877629	1.879118
61013.14696759	177.5650678	1.5021052	1.877647	1.879112
61013.14766204	177.5643966	1.5023335	1.877664	1.879105
61013.14835648	177.5637253	1.5025619	1.877681	1.879099
61013.14905093	177.5630541	1.5027902	1.877699	1.879092
61013.14974537	177.5623828	1.5030184	1.877716	1.879086
61013.15043982	177.5617115	1.5032467	1.877733	1.879079
61013.15113426	177.5610403	1.5034749	1.877751	1.879073
61013.15182870	177.5603690	1.5037031	1.877768	1.879066
61013.15252315	177.5596977	1.5039312	1.877785	1.879060
61013.15321759	177.5590264	1.5041594	1.877803	1.879053
61013.15391204	177.5583551	1.5043875	1.877820	1.879047
61013.15460648	177.5576838	1.5046156	1.877837	1.879040
61013.15530093	177.5570125	1.5048436	1.877855	1.879034
61013.15599537	177.5563412	1.5050716	1.877872	1.879027
61013.15668982	177.5556699	1.5052996	1.877889	1.879021
61013.15738426	177.5549985	1.5055276	1.877907	1.879014
61013.15807870	177.5543272	1.5057555	1.877924	1.879008
61013.15877315	177.5536559	1.5059834	1.877942	1.879001
61013.15946759	177.5529845	1.5062113	1.877959	1.878995
61013.16016204	177.5523132	1.5064392	1.877976	1.878988
61013.16085648	177.5516419	1.5066670	1.877994	1.878982
61013.16155093	177.5509705	1.5068948	1.878011	1.878975
61013.16224537	177.5502992	1.5071226	1.878028	1.878969
61013.16293981	177.5496278	1.5073503	1.878046	1.878962
61013.16363426	177.5489564	1.5075780	1.878063	1.878956
61013.16432870	177.5482851	1.5078057	1.878080	1.878949
61013.16502315	177.5476137	1.5080334	1.878098	1.878943
61013.16571759	177.5469423	1.5082610	1.878115	1.878936
61013.16641204	177.5462709	1.5084886	1.878132	1.878930
61013.16710648	177.5455996	1.5087162	1.878150	1.878923
61013.16780093	177.5449282	1.5089437	1.878167	1.878917
61013.16849537	177.5442568	1.5091713	1.878184	1.878910
61013.16918981	177.5435854	1.5093988	1.878202	1.878904
61013.16988426	177.5429140	1.5096262	1.878219	1.878897
61013.17057870	177.5422426	1.5098536	1.878236	1.878891
61013.17127315	177.5415712	1.5100811	1.878254	1.878884
61013.17196759	177.5408998	1.5103084	1.878271	1.878878
61013.17266204	177.5402283	1.5105358	1.878288	1.878871
61013.17335648	177.5395569	1.5107631	1.878306	1.878865
61013.17405093	177.5388855	1.5109904	1.878323	1.878859
61013.17474537	177.5382141	1.5112177	1.878341	1.878852
61013.17543982	177.5375426	1.5114449	1.878358	1.878846
61013.17613426	177.5368712	1.5116721	1.878375	1.878839
61013.17682870	177.5361998	1.5118993	1.878393	1.878833
61013.17752315	177.5355283	1.5121264	1.878410	1.878826
61013.17821759	177.5348569	1.5123535	1.878427	1.878820
61013.17891204	177.5341854	1.5125806	1.878445	1.878813
61013.17960648	177.5335140	1.5128077	1.878462	1.878807
61013.18030093	177.5328425	1.5130347	1.878479	1.878800
61013.18099537	177.5321711	1.5132617	1.878497	1.878794
61013.18168982	177.5314996	1.5134887	1.878514	1.878787
61013.18238426	177.5308281	1.5137157	1.878531	1.878781
61013.18307870	177.5301567	1.5139426	1.878549	1.878774
61013.18377315	177.5294852	1.5141695	1.878566	1.878768
61013.18446759	177.5288137	1.5143964	1.878583	1.878761
61013.18516204	177.5281422	1.5146232	1.878601	1.878755
61013.18585648	177.5274707	1.5148500	1.878618	1.878749
61013.18655093	177.5267993	1.5150768	1.878635	1.878742
61013.18724537	177.5261278	1.5153035	1.878653	1.878736
61013.18793982	177.5254563	1.5155302	1.878670	1.878729
61013.18863426	177.5247848	1.5157569	1.878688	1.878723
61013.18932870	177.5241133	1.5159836	1.878705	1.878716
61013.19002315	177.5234418	1.5162102	1.878722	1.878710
