mjd	ra_deg	dec_deg	r_au	delta_au
61012.59141204	178.0980227	1.3116843	1.863827	1.884521
61012.59210648	178.0973645	1.3119310	1.863845	1.884514
61012.59280093	178.0967062	1.3121776	1.863862	1.884507
61012.59349537	178.0960480	1.3124242	1.863879	1.884500
61012.59418982	178.0953897	1.3126708	1.863896	1.884493
61012.59488426	178.0947313	1.3129174	1.863913	1.884486
61012.59557870	178.0940730	1.3131639	1.863931	1.884479
61012.59627315	178.0934146	1.3134105	1.863948	1.884472
61012.59696759	178.0927562	1.3136570	1.863965	1.884465
61012.59766204	178.0920978	1.3139035	1.863982	1.884458
61012.59835648	178.0914393	1.3141500	1.863999	1.884451
61012.59905093	178.0907808	1.3143965	1.864017	1.884444
61012.59974537	178.0901223	1.3146429	1.864034	1.884437
61012.60043981	178.0894637	1.3148893	1.864051	1.884430
61012.60113426	178.0888052	1.3151357	1.864068	1.884423
61012.60182870	178.0881466	1.3153821	1.864085	1.884416
61012.60252315	178.0874879	1.3156285	1.864103	1.884409
61012.60321759	178.0868293	1.3158748	1.864120	1.884402
61012.60391204	178.0861706	1.3161211	1.864137	1.884395
61012.60460648	178.0855119	1.3163674	1.864154	1.884388
61012.60530093	178.0848531	1.3166137	1.864172	1.884381
61012.60599537	178.0841943	1.3168600	1.864189	1.884374
61012.60668981	178.0835355	1.3171062	1.864206	1.884367
61012.60738426	178.0828767	1.3173525	1.864223	1.884360
61012.60807870	178.0822179	1.3175987	1.864240	1.884353
61012.60877315	178.0815590	1.3178448	1.864258	1.884346
61012.60946759	178.0809001	1.3180910	1.864275	1.884339
61012.61016204	178.0802411	1.3183372	1.864292	1.884331
61012.61085648	178.0795822	1.3185833	1.864309	1.884324
61012.61155093	178.0789232	1.3188294	1.864326	1.884317
61012.61224537	178.0782642	1.3190755	1.864344	1.884310
61012.61293982	178.0776051	1.3193215	1.864361	1.884303
61012.61363426	178.0769461	1.3195676	1.864378	1.884296
61012.61432870	178.0762870	1.3198136	1.864395	1.884289
61012.61502315	178.0756278	1.3200596	1.864412	1.884282
61012.61571759	178.0749687	1.3203056	1.864430	1.884275
61012.61641204	178.0743095	1.3205516	1.864447	1.884268
61012.61710648	178.0736503	1.3207975	1.864464	1.884261
61012.61780093	178.0729911	1.3210434	1.864481	1.884254
61012.61849537	178.0723318	1.3212894	1.864499	1.884247
61012.61918982	178.0716725	1.3215352	1.864516	1.884240
61012.61988426	178.0710132	1.3217811	1.864533	1.884233
61012.62057870	178.0703538	1.3220270	1.864550	1.884226
61012.62127315	178.0696945	1.3222728	1.864567	1.884219
61012.62196759	178.0690351	1.3225186	1.864585	1.884212
61012.62266204	178.0683757	1.3227644	1.864602	1.884205
61012.62335648	178.0677162	1.3230101	1.864619	1.884198
61012.62405093	178.0670567	1.3232559	1.864636	1.884191
61012.62474537	178.0663972	1.3235016	1.864653	1.884184
61012.62543982	178.0657377	1.3237473	1.864671	1.884177
61012.62613426	178.0650782	1.3239930	1.864688	1.884170
61012.62682870	178.0644186	1.3242387	1.864705	1.884163
61012.62752315	178.0637590	1.3244843	1.864722	1.884156
61012.62821759	178.0630993	1.3247300	1.864740	1.884149
61012.62891204	178.0624397	1.3249756	1.864757	1.884142
61012.62960648	178.0617800	1.3252212	1.864774	1.884135
61012.63030093	178.0611203	1.3254667	1.864791	1.884128
61012.63099537	178.0604605	1.3257123	1.864808	1.884121
61012.63168981	178.0598008	1.3259578	1.864826	1.884114
61012.63238426	178.0591410	1.3262033	1.864843	1.884107
61012.63307870	178.0584812	1.3264488	1.864860	1.884100
61012.63377315	178.0578213	1.3266943	1.864877	1.884093
61012.63446759	178.0571614	1.3269397	1.864894	1.884086
61012.63516204	178.0565015	1.3271852	1.864912	1.884079
61012.63585648	178.0558416	1.3274306	1.864929	1.884072
61012.63655093	178.0551817	1.3276759	1.864946	1.884065
61012.63724537	178.0545217	1.3279213	1.864963	1.884058
61012.63793981	178.0538617	1.3281667	1.864981	1.884051
61012.63863426	178.0532017	1.3284120	1.864998	1.884044
61012.63932870	178.0525416	1.3286573	1.865015	1.884037
