distance_arcmin	distance_km	surface_brightness	error	coverage	smooth	reflected_smooth
-11.875	-972805.9375	0.0007482824303418357	0.00026908575406992143	1.0	0.0009373057764198736	0.0009861312605741932
-11.625	-952325.8125	0.0012368999003620745	0.00030186300762995107	1.0	0.000986066989700105	0.0010006196278535687
-11.375	-931845.6875	0.0009757397653964265	0.0002780327909542823	1.0	0.0011437316617312644	0.001017690720361888
-11.125	-911365.5625	0.001547096869557246	0.0003206001962510186	1.0	0.0011073970703386158	0.0011408026234327128
-10.875	-890885.4375	0.0007265527267669556	0.0002466450423129374	1.0	0.000918775064014626	0.0012127509529742766
-10.625	-870405.3125	0.0006005411678030353	0.0002386875229663778	1.0	0.0008936757871958834	0.0012996885442560103
-10.375	-849925.1875	0.0011220493116212591	0.00027388705336387636	1.0	0.001063711960496745	0.0012393841667243102
-10.125	-829445.0625	0.001060294924268282	0.0002697662902760624	1.0	0.001036870830665466	0.00119223786969911
-9.875	-808964.9375	0.0009887449967518414	0.0002559762252454596	1.0	0.0009532871079353159	0.0011887518361528035
-9.625	-788484.8125	0.000792190281278686	0.00023835569498184049	1.0	0.0008785063479759496	0.0011706687648509763
-9.375	-768004.6875	0.0009094595063202896	0.0002464016857451498	1.0	0.00095958053762524	0.0012504894636817384
-9.125	-747524.5625	0.001216644943414069	0.00026587684838236806	1.0	0.0011627359309387358	0.0013783471336091633
-8.875	-727044.4375	0.0013461964355961924	0.00027270707827552676	1.0	0.0011961167421214794	0.0012848373708571482
-8.625	-706564.3125	0.001076761616298308	0.00024733335796507997	1.0	0.0010256646608153995	0.0012530433067997429
-8.375	-686084.1875	0.0010066001739487745	0.00023747702368799153	1.0	0.0010001146725821504	0.0013369328481886128
-8.125	-665604.0625	0.0011096147680927841	0.0002443962814928784	1.0	0.0011180972032350954	0.0014307266691870775
-7.875	-645123.9375	0.0010643773447425516	0.00023706780271387853	1.0	0.0010757301508214974	0.0014682089281165681
-7.625	-624643.8125	0.000975970584492945	0.00022484966840122475	1.0	0.001052592324405904	0.0013917846211506516
-7.375	-604163.6875	0.0010074747531259583	0.00022951193004052515	1.0	0.0011418126840860277	0.001387886689946233
-7.125	-583683.5625	0.0013249300917081378	0.0002443707212316247	1.0	0.0012938572150658133	0.0014822082919352297
