radius_arcmin	energy_flux_erg_cm2_s_arcmin2	count_rate_ct_s_arcmin2	tau
0.01	3.7689839037070236e-13	0.031764413751580324	35.44996374800003
0.060000000000000005	3.758687331793493e-13	0.03167763583508071	5.9027497066429895
0.11	3.614929607926487e-13	0.030466067959610158	3.1972556122725435
0.16000000000000003	3.302515719859419e-13	0.02783309200220643	2.0893709064171317
0.21000000000000002	2.9935391171791675e-13	0.025229084954726064	1.581123939725668
0.26	2.6644420761685934e-13	0.022455505963104753	1.2273748302965983
0.31000000000000005	2.517611071746001e-13	0.021218036954162578	1.1025642293387254
0.36000000000000004	2.241472280913728e-13	0.018890781909048103	0.9031654225046855
0.41000000000000003	2.1157883633846243e-13	0.01783153727964353	0.8240953375207236
0.46	1.8763895052980448e-13	0.01581392070865244	0.6888568582148985
0.51	1.7982072539119014e-13	0.015155012778953687	0.6483777400363216
0.56	1.679028975134603e-13	0.014150596667343368	0.5896629431014994
0.6100000000000001	1.5165112164396875e-13	0.0127809221181665	0.5147768586619859
0.66	1.4633044794707674e-13	0.012332503963398052	0.49143004949728103
0.7100000000000001	1.3929256282474985e-13	0.011739361884065201	0.4613625156611533
0.76	1.2603019084055944e-13	0.01062162967348493	0.40704792981323334
0.81	1.2000286218651537e-13	0.010113655731236185	0.3833061324277023
0.8600000000000001	1.1647754639861566e-13	0.009816547565871813	0.36967667645076147
0.91	1.1216982802442077e-13	0.009453499719929492	0.3532706215507057
0.9600000000000001	1.063836258993345e-13	0.008965847548821147	0.33164895061120375
1.01	9.586358785882817e-14	0.008079235004065152	0.2934971155373227
1.06	9.393342298315133e-14	0.00791656369188612	0.28665252972681465
1.11	9.175396748333044e-14	0.007732882551244004	0.27897983066842524
1.1600000000000001	8.92462338689988e-14	0.007521534638545229	0.27022366931219144
1.2100000000000002	8.625933600094094e-14	0.007269803503208233	0.2598934952633071
1.26	8.2405694200928e-14	0.0069450245290513	0.2467214275550769
1.31	7.43775589084928e-14	0.006268425696056129	0.21982549011968364
1.36	7.322717276497204e-14	0.0061714729300840114	0.2160300344508793
1.4100000000000001	7.197206766532598e-14	0.006065694612358474	0.21190544703191674
1.4600000000000002	7.059167042839193e-14	0.00594935686697202	0.20738867687247461
1.51	6.905518888641514e-14	0.0058198645776231205	0.20238506230214506
1.56	6.731212035165122e-14	0.005672961455852968	0.19673883630891462
1.61	6.526662388604105e-14	0.005500570175547603	0.19015337440058375
1.6600000000000001	6.267867698896026e-14	0.005282462011368023	0.18188316419629583
1.7100000000000002	5.768406867593278e-14	0.004861524143137689	0.1661128975234669
1.76	5.6263862350511774e-14	0.00474183134930826	0.16167369705189402
1.81	5.553468877597267e-14	0.004680377727562627	0.15940212104295526
1.86	5.47540983526204e-14	0.0046145907732763666	0.15697607252775148
1.9100000000000001	5.391410567956609e-14	0.004543797489205957	0.15437196172542922
1.9600000000000002	5.3003746700712435e-14	0.004467073841651156	0.15155734050363226
2.01	5.20071507710096e-14	0.004383082277179135	0.14848515062017797
2.06	5.0899588973990197e-14	0.004289738680934626	0.14508192489467636
2.11	4.963804567553069e-14	0.0041834177617649055	0.14121961428102067
2.1599999999999997	4.81324790391743e-14	0.004056530932875129	0.13662964774912825
2.21	4.610040201837804e-14	0.0038852706226356385	0.1304677475862189
2.26	4.300740495584067e-14	0.0036245976111902263	0.12116108083131745
2.31	4.259534361842999e-14	0.003589869718615072	0.11992772234618111
2.36	4.2162671983837305e-14	0.0035534048220516854	0.11863430941570213
2.41	4.1707348414282633e-14	0.003515030855423821	0.1172749857802883
2.46	4.1226861671485744e-14	0.003474536175450956	0.11584254090715589
2.51	4.0718056731282066e-14	0.0034316548815733635	0.11432790630986793
2.56	4.01768655262333e-14	0.003386044123355539	0.11271937658175421
2.61	3.9597869693680194e-14	0.0033372472495679685	0.11100134382951518
2.66	3.89735450745168e-14	0.0032846301357116357	0.10915210999281336
2.71	3.829284658216755e-14	0.0032272619189628402	0.10713978731511584
2.76	3.753824911396284e-14	0.0031636656107579307	0.10491372249661962
2.81	3.6678479531352154e-14	0.0030912055593201727	0.10238342444365268
2.86	3.564523380705384e-14	0.0030041252068108877	0.0993510330976689
2.91	3.419876087264963e-14	0.0028822187037778374	0.09512128180364
2.96	3.2369036215739676e-14	0.0027280123379814975	0.08979633473671601
3.01	3.212740412992765e-14	0.002707647959290887	0.08909524094189558
3.06	3.1876750940031454e-14	0.0026865232958923906	0.08836849150561568
3.11	3.161643001852005e-14	0.002664583851017214	0.08761426993141676
3.16	3.134568906549699e-14	0.0026417662219929477	0.08683046164294884
3.21	3.106364316974987e-14	0.0026179958298704585	0.08601457783712557
3.26	3.076923814415568e-14	0.0025931838293885238	0.08516365181742411
3.31	3.046119943007877e-14	0.0025672228027154727	0.08427409448496376
3.36	3.0137958902418726e-14	0.0025399805906917653	0.08334148727270838
3.41	2.979754655309517e-14	0.002511291164081517	0.08236027564219899
3.46	2.9437423829396134e-14	0.002480940577586119	0.08132329736150813
3.51	2.905421468003404e-14	0.0024486443028215693	0.0802210210661472
3.56	2.8643244799444536e-14	0.0024140083965401896	0.07904024149695094
3.61	2.819768879718056e-14	0.0023764576253854156	0.07776166390903799
3.66	2.7706817411775492e-14	0.002335087743785544	0.07635493830319356
3.71	2.7151806576164665e-14	0.0022883122884655763	0.07476678362340192
3.76	2.6492945436267602e-14	0.0022327844900264693	0.07288473141947248
3.81	2.5604933659134864e-14	0.002157944230089628	0.07035369638689606
3.86	2.424727765591248e-14	0.0020435230807282407	0.0664964106131897
3.91	2.4107175581095256e-14	0.002031715494424749	0.06609920712483408
3.96	2.396317635407988e-14	0.002019579462158001	0.06569111916571549
4.01	2.3815079090035162e-14	0.002007098053664941	0.06527159117626366
4.06	2.3662659505546694e-14	0.001994252366686088	0.06484000267939594
4.11	2.350566576171565e-14	0.0019810211766283273	0.06439565672871153
4.16	2.3343813286193454e-14	0.001967380500173997	0.06393776551684222
4.21	2.317677824734931e-14	0.0019533030452938156	0.06346543223460162
4.26	2.300418922201545e-14	0.0019387575090173282	0.06297762790485341
4.31	2.2825616401032154e-14	0.0019237076676929296	0.062473161366028
4.36	2.2640557374563422e-14	0.0019081111789962394	0.06195063973881218
4.41	2.2448418063544638e-14	0.0018919179748619862	0.06140841538545098
4.46	2.2248486592448674e-14	0.0018750680595211219	0.060844513224030124
4.51	2.203989660445636e-14	0.001857488417760094	0.06025652865690226
4.56	2.1821574260475023e-14	0.0018390885480800531	0.0596414800804294
4.61	2.1592159029727585e-14	0.0018197537870501413	0.05899558843212471
4.66	2.134988038644028e-14	0.0017993349174949276	0.05831393397142036
4.71	2.1092355995988084e-14	0.0017776311599346963	0.05758989445063682
4.76	2.0816239805886535e-14	0.001754360514238202	0.0568141653128616
4.8100000000000005	2.0516555439371917e-14	0.001729103579064009	0.05597290346583548
4.86	2.0185281532418748e-14	0.001701184326251034	0.05504378755026564
4.91	1.9807801203560563e-14	0.0016693708676232572	0.053986128798702
4.96	1.9351089354358108e-14	0.0016308798989326044	0.052707965640398875
5.01	1.868738373111291e-14	0.0015749438149252532	0.05085341276585099
5.0600000000000005	1.797575604807326e-14	0.001514968933793718	0.04886876757289724
5.11	1.7893437518104562e-14	0.0015080312553314254	0.04863944491752097
5.16	1.7809388391530665e-14	0.0015009477248623079	0.048405355418807965
5.21	1.772354224057609e-14	0.0014937127439561286	0.04816631749047487
5.26	1.7635826922778795e-14	0.0014863202325577005	0.047922133886393145
5.3100000000000005	1.7546163841738165e-14	0.0014787635666838697	0.0476725896722842
5.36	1.7454467077588646e-14	0.0014710355051411775	0.04741744983974714
5.41	1.736064235777356e-14	0.0014631281027842685	0.04715645648180174
5.46	1.7264585830474235e-14	0.0014550326071423934	0.046889325426549285
5.51	1.7166182592056253e-14	0.0014467393343148554	0.04661574219535228
5.5600000000000005	1.7065304905016546e-14	0.0014382375187823454	0.04633535711105851
5.61	1.6961810022516927e-14	0.001429515130061991	0.04604777932575173
5.66	1.685553750722867e-14	0.0014205586467437227	0.04575256945958654
5.71	1.6746305892165447e-14	0.0014113527750704347	0.045449230432228385
5.76	1.663390847367247e-14	0.001401880094377612	0.04513719591039493
5.8100000000000005	1.6518107942590296e-14	0.0013921206046161169	0.04481581556376236
5.86	1.6398629433906758e-14	0.0013820511405875948	0.04448433597606327
5.91	1.627515138301808e-14	0.0013716446013242963	0.04414187553004119
5.96	1.6147293275116093e-14	0.0013608689176263682	0.043787390756060786
6.01	1.601459888671041e-14	0.0013496856396832458	0.04341963029436132
6.0600000000000005	1.5876512803187835e-14	0.0013380479580098583	0.043037070380714706
6.11	1.5732346579117807e-14	0.0013258978514894793	0.042637821870122834
6.16	1.558122832858679e-14	0.0013131618389250295	0.042219491723443664
6.21	1.5422024575640174e-14	0.0012997443927151191	0.04177896825611931
6.26	1.5253213019819774e-14	0.0012855172157302211	0.041312071479257646
6.3100000000000005	1.5072662211962318e-14	0.001270300672729532	0.040812947574672756
6.36	1.4877218130771423e-14	0.0012538289476735059	0.0402729325913032
6.41	1.4661838599533746e-14	0.0012356770937026623	0.039678173210916164
6.46	1.441746601110919e-14	0.0012150817496879862	0.03900377910359829
6.51	1.412421686480952e-14	0.0011903671649262984	0.03819510043827387
6.5600000000000005	1.371226054623275e-14	0.0011556481231761336	0.03706017236877566
6.61	1.3186617713171712e-14	0.001111347757715614	0.03561390894473996
6.66	1.313842756196771e-14	0.0011072863662618337	0.03548142228189084
6.71	1.3089469977248919e-14	0.0011031602966976835	0.03534684372603725
6.76	1.3039723068963681e-14	0.0010989677041634463	0.03521011396315112
6.8100000000000005	1.2989163559026898e-14	0.001094706626818092	0.0350711699112712
6.86	1.2937766650459053e-14	0.0010903749748105167	0.03492994436493015
6.91	1.2885505879895503e-14	0.0010859705178492538	0.03478636559437364
6.96	1.2832352950788353e-14	0.001081490871144986	0.03464035689228929
7.01	1.2778277544096149e-14	0.0010769334794557652	0.03449183605933112
7.0600000000000005	1.2723247102606725e-14	0.0010722955989100752	0.03434071481795646
7.11	1.2667226584230649e-14	0.0010675742762147845	0.034186898141895385
7.16	1.2610178178593047e-14	0.0010627663247699444	0.034030283485826485
7.21	1.2552060979980634e-14	0.0010578682971052686	0.033870759896375426
7.26	1.2492830608088296e-14	0.0010528764529172429	0.033708206981167
7.3100000000000005	1.243243876594993e-14	0.0010477867218122191	0.03354249370705845
7.36	1.2370832721781665e-14	0.0010425946596369622	0.03337347699145561
7.41	1.2307954698011973e-14	0.0010372953969870536	0.033201000041218474
7.46	1.2243741146237295e-14	0.0010318835781012706	0.03302489038132354
7.51	1.2178121880822658e-14	0.0010263532878427867	0.03284495749907607
7.5600000000000005	1.211101903579083e-14	0.0010206979637874022	0.03266099000769464
7.61	1.2042345798672587e-14	0.0010149102895144005	0.0324727522032442
7.66	1.1972004859892176e-14	0.001008982063923153	0.03227997984781696
7.71	1.1899886495178277e-14	0.0010029040396216788	0.03208237495449924
7.76	1.1825866168582918e-14	0.0009966657209127836	0.03187959926829267
7.8100000000000005	1.174980150052092e-14	0.0009902551082651106	0.03167126601970421
7.86	1.167152838172154e-14	0.0009836583708029937	0.03145692935489172
7.91	1.1590855918498586e-14	0.0009768594203016325	0.03123607058645076
7.96	1.1507559747735888e-14	0.000969839347784405	0.03100808000892993
8.01	1.1421373027463583e-14	0.0009625756642225608	0.030772232390481147
8.06	1.1331974029681064e-14	0.0009550412548775182	0.030527653220191308
8.11	1.1238968621486325e-14	0.0009472029028375251	0.030273271047539484
8.16	1.1141864793411027e-14	0.0009390191423051112	0.030007748183290384
8.21	1.1040034313234938e-14	0.0009304370268398422	0.02972937636940346
8.26	1.0932652516861161e-14	0.0009213870550263523	0.029435912959171872
8.31	1.0818598726112277e-14	0.0009117747778401312	0.02912430995887794
8.36	1.0696280304583435e-14	0.0009014659703467884	0.02879023527430439
8.41	1.0563293552469931e-14	0.0008902580524422906	0.02842714995297277
8.46	1.0415686376850717e-14	0.0008778179478441805	0.0280243017212517
8.51	1.0246036923398535e-14	0.000863520154142052	0.027561496253805107
8.56	1.0036596453537844e-14	0.0008458688350837854	0.026990435760139278
8.61	9.701716226051037e-15	0.000817645647150688	0.02607802819237977
8.66	9.464199913752952e-15	0.0007976281394898953	0.025431400526652992
8.71	9.436276404103953e-15	0.0007952747892593075	0.025355407466150826
8.76	9.408012340383411e-15	0.00079289273765798	0.025278493477716883
8.81	9.37940033322695e-15	0.000790481361921705	0.02520063866820301
8.86	9.350432641146581e-15	0.0007880400096098413	0.025121822195272592
8.91	9.321101145799534e-15	0.0007855679965210091	0.025042022200689004
8.96	9.291397324933848e-15	0.0007830646044129864	0.024961215737335063
9.01	9.261312222736396e-15	0.0007805290785036863	0.02487937868922287
9.06	9.230836417269547e-15	0.000777960624726769	0.024796485683647198
9.11	9.199959984637111e-15	0.0007753584067116036	0.02471250999451245
9.16	9.16867245946595e-15	0.0007727215424527187	0.0246274234357168
9.21	9.136962791226606e-15	0.000770049100628573	0.02454119624330693
9.26	9.104819295841102e-15	0.0007673400965231351	0.024453796944913824
9.31	9.072229601937533e-15	0.0007645934874963039	0.02436519221474104
9.36	9.039180591005008e-15	0.0007618081679402594	0.024275346712090588
9.41	9.005658330576257e-15	0.0007589829636481959	0.024184222901070713
9.46	8.971647999413223e-15	0.0007561166255090802	0.0240917808487196
9.51	8.937133803487661e-15	0.0007532078224266252	0.02399797799828406
9.56	8.90209888132661e-15	0.0007502551333419531	0.02390276891379262
9.610000000000001	8.866525197021861e-15	0.0007472570382165991	0.023806104991331477
9.66	8.83039341887046e-15	0.0007442119078045203	0.023707934131535123
9.71	8.793682781204808e-15	0.0007411179920073495	0.023608200366700808
9.76	8.756370926463629e-15	0.0007379734065643818	0.02350684343456626
9.81	8.718433723922926e-15	0.0007347761177754986	0.023403798289083375
9.860000000000001	8.679845060711275e-15	0.00073152392488826	0.023298994536374934
9.91	8.640576599728801e-15	0.0007282144396956906	0.023192355781347717
9.96	8.600597497807384e-15	0.0007248450627832568	0.023083798866974762
10.01	8.559874075801847e-15	0.0007214129557246627	0.022973232983810436
10.06	8.51836943016513e-15	0.0007179150083460053	0.022860558621532613
10.110000000000001	8.476042972762807e-15	0.000714347799942054	0.022745666326752588
10.16	8.432849881982496e-15	0.0007107075530166004	0.02262843522134345
10.21	8.388740443246898e-15	0.0007069900777019157	0.022508731222180712
10.26	8.34365925034606e-15	0.0007031907044482687	0.02238640488511646
10.31	8.297544229831828e-15	0.0006993042018013989	0.022261288771240687
10.360000000000001	8.250325437969254e-15	0.0006953246750114402	0.022133194199060506
10.41	8.201923561748376e-15	0.0006912454397005104	0.022001907197647285
10.46	8.152248029638466e-15	0.0006870588626400006	0.02186718340607711
10.51	8.101194600011905e-15	0.0006827561585066657	0.02172874156254068
10.56	8.048642238810121e-15	0.0006783271267371373	0.02158625507432272
10.610000000000001	7.994449011945548e-15	0.0006737598053459092	0.021439340927408828
10.66	7.938446583000102e-15	0.0006690400071998705	0.02128754483010596
10.71	7.88043268895949e-15	0.0006641506858848236	0.02113032089685647
10.76	7.820160603082707e-15	0.0006590710476524133	0.0209670031964385
10.81	7.757323962901952e-15	0.0006537752727474116	0.020796764784470515
10.860000000000001	7.691534195170754e-15	0.0006482306128172413	0.02061855674489176
10.91	7.622285572638112e-15	0.0006423944459509133	0.02043101383220406
10.96	7.548898442871076e-15	0.000636209492091948	0.020232301168213476
11.01	7.470421201391388e-15	0.000629595551485856	0.020019849527747022
11.06	7.385447079656929e-15	0.0006224340638544132	0.019789860578221706
