kind	name	method	radius_arcsec	radius_km	measured_luminosity_erg_s	inferred_production_rate_s-1	task06_prior_inferred_rate_s-1	xmm_parent_rate_s-1	missing_rate_s-1	missing_fraction	b8_production_rate_s-1	predicted_luminosity_erg_s	observed_over_prediction	prediction_over_observed
aperture	120000_km	Wegmann Eq. 30 approximate Hyakutake-scale	87.88857310189125	120000.0	7854716063841441.0	1.0544148516452363e+29	9.88671925780543e+28	3.141842802631807e+28	7.4023057138205555e+28	0.7020297278884594				
aperture	135000_km	Wegmann Eq. 30 approximate Hyakutake-scale	98.8746431501766	135000.0	9038491143223348.0	1.1310823813847452e+29	1.060559223416882e+29	3.141842802631807e+28	8.168981011215645e+28	0.7222268815835184				
aperture	370_arcsec	Cabot B2-B7/B11-B12; v=1 km s-1	370.0	505185.63868738565	3.251033307100501e+16	2.1844932539277543e+29	2.0385874306466423e+29	3.141842802631807e+28	1.8703089736645735e+29	0.8561752114829047				
end_member	H2O	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.251033307100501e+16						1.2601778082280413e+28	911756360032287.0	35.65682072111211	0.02804512516192752
end_member	CO2	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.251033307100501e+16						2.379729100606393e+28	3159655891614426.0	10.289200528856911	0.09718928085767378
end_member	CO	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.251033307100501e+16						8.555108825375317e+28	3.612662126083267e+16	0.8998996290375948	1.1112350397004367
end_member	N2	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.251033307100501e+16						9.27723988892917e+28	4.1968079292457976e+16	0.7746442920214219	1.2909150823154145
end_member	H2	Cabot B2-B9/B11-B12; R=1.3 km; v=0.37 km s-1	370.0	505185.63868738565	3.251033307100501e+16						6.617305083101086e+29	1.1893734513524808e+18	0.02733399928679785	36.58447450399231
